candidate_id,candidate_name,job_role,education,experience_years,resume_skills
1092,Riya Mittal,Data Analyst,MCA,3,"python, power bi, pandas"
1093,Yutika Pandey,Web Developer,B.Tech,1,"communication, git, linux, javascript"
1094,Ishwar Mitter,Data Scientist,B.Sc,0,"communication, aws, linux, machine learning"
1095,Eiravati Chahal,Software Engineer,B.Tech,2,"aws, linux, c++, django, power bi, pandas"
1096,Urvi Cherian,AI Engineer,B.Tech,2,"c++, python, excel"
1097,Samuel Kibe,Software Engineer,MCA,3,"c++, linux, tableau"
1098,Saanvi Pandit,System Administrator,MCA,3,"aws, git, power bi, pandas"
1099,Ekantika Walia,AI Engineer,B.Tech,3,"react, python, tableau, pandas"
1100,Warjas Ben,Data Analyst,B.Sc,0,"python, excel, data analysis"
1101,Vamakshi Mohanty,Data Analyst,B.Tech,0,"python, numpy"
1102,Lila Toor,System Administrator,B.Sc,2,"linux, react, numpy"
1103,Manbir Kata,Web Developer,B.Tech,8,"html, linux"
1104,Chandresh Soman,Data Scientist,MCA,9,"numpy, sql"
1105,Ira Agate,Data Scientist,M.Tech,4,"tableau, data analysis, communication, python, pandas"
1106,Aashi Sur,Web Developer,MCA,7,"aws, html, git"
1107,Farhan Narang,Data Scientist,B.Tech,5,"machine learning, react, pandas, excel, sql"
1108,Jagat Bahri,Data Analyst,M.Tech,5,"python, excel, react, data analysis"
1109,Bimala Dasgupta,Data Analyst,MCA,8,"communication, django, excel, python, sql"
1110,Zaitra Chada,Data Scientist,B.Tech,3,"communication, machine learning, power bi, data analysis"
1111,Bhavini Dada,Software Engineer,MCA,6,"aws, java, pandas"
1112,Megha Mani,Data Scientist,MCA,6,"communication, sql, data analysis"
1113,Ranveer Khare,Data Analyst,M.Tech,5,"aws, tableau, data analysis, git, python"
1114,Pushti Mody,System Administrator,B.Sc,10,"python, linux, power bi, pandas"
1115,Dev Apte,AI Engineer,B.Tech,8,"aws, git, communication, c++, python"
1116,Vidhi Kakar,Web Developer,B.Sc,3,"tableau, html, excel, css, pandas"
1117,Champak Chhabra,Software Engineer,M.Tech,8,"aws, c++, django"
1118,Aadi Bhandari,System Administrator,B.Sc,10,"aws, python, tableau"
1119,Jagat Savant,Data Scientist,MCA,7,"python, numpy"
1120,Daniel Ganesan,AI Engineer,MCA,2,"aws, c++, excel, power bi, python"
1121,Sanya Dewan,Web Developer,M.Tech,7,"html, django, pandas, css"
1122,Maanav Wali,Web Developer,MCA,1,"communication, git, css"
1123,Warda Karpe,AI Engineer,MCA,4,"aws, c++, numpy, react"
1124,Vivaan Bala,Web Developer,MCA,0,"git, excel, css"
1125,Tanish Nazareth,Web Developer,B.Sc,1,"html, git, power bi, excel, css"
1126,Pranit Dube,System Administrator,M.Tech,6,"aws, python, excel"
1127,Lakshit Brar,Data Scientist,B.Sc,10,"aws, data analysis, git, machine learning, communication, sql"
1128,Utkarsh Dutta,AI Engineer,B.Sc,6,"aws, machine learning, communication, django, power bi, python"
1129,Teerth Srinivas,System Administrator,MCA,9,"aws, linux, git"
1130,Saanvi Sagar,Data Scientist,MCA,4,"linux, data analysis, git, python, pandas, sql"
1131,Chanchal Munshi,AI Engineer,MCA,7,"python, tableau, numpy"
1132,Unni Upadhyay,Data Scientist,M.Tech,5,"communication, python, pandas"
1133,Sara Kar,System Administrator,M.Tech,6,"excel, linux, python"
1134,Tara Bal,Web Developer,B.Tech,5,"linux, html, git, django, css"
1135,Edhitha Varghese,Software Engineer,M.Tech,1,"c++, git, power bi, pandas"
1136,Ekapad Nayak,AI Engineer,M.Tech,9,"machine learning, react, c++, numpy, power bi"
1137,Januja Grewal,Web Developer,B.Sc,1,"django, javascript, excel"
1138,Naksh Anne,Software Engineer,B.Sc,7,"c++, pandas"
1139,Anika Chandran,Software Engineer,M.Tech,6,"aws, c++, git, django"
1140,Rachana Natt,Software Engineer,B.Sc,2,"aws, tableau, java"
1141,Bakhshi Dhawan,Web Developer,MCA,3,"aws, linux, javascript"
1142,Shravya Savant,Data Scientist,B.Tech,0,"linux, tableau, data analysis, machine learning, sql"
1143,Yashawini Dewan,System Administrator,MCA,6,"aws, communication, numpy, git"
1144,Adya Shenoy,System Administrator,B.Sc,3,"aws, linux, excel, numpy"
1145,Udarsh Cherian,AI Engineer,B.Sc,9,"c++, django, tableau"
1146,Charles Mander,Software Engineer,MCA,10,"aws, react, c++, numpy, django"
1147,Aarush Thakur,Data Scientist,B.Tech,0,"machine learning, power bi, sql, data analysis"
1148,Hritik Sarin,Data Analyst,MCA,9,"python, excel"
1149,Upasna Loyal,Data Scientist,B.Sc,2,"linux, tableau, data analysis, machine learning, react"
1150,Panini Nagi,Web Developer,MCA,1,"git, react, django, css, javascript"
1151,Vasana Dube,AI Engineer,B.Tech,8,"c++, django"
1152,Elijah Char,Web Developer,B.Tech,4,"communication, linux, javascript, excel"
1153,Aarna Rajagopal,Web Developer,MCA,3,"html, django, excel, tableau"
1154,Nitara Reddy,System Administrator,B.Tech,7,"aws, communication, python"
1155,Teerth Kaur,AI Engineer,B.Sc,0,"aws, machine learning, pandas"
1156,Edhitha Bera,System Administrator,MCA,9,"aws, communication, linux, git"
1157,Anjali Chowdhury,Web Developer,B.Tech,6,"aws, html, git, django, css"
1158,Bhanumati Gera,System Administrator,B.Sc,0,"aws, communication"
1159,Tanay Shenoy,Web Developer,B.Sc,3,"django, javascript, react, css"
1160,Veda Tak,Web Developer,M.Tech,0,"git, excel, css"
1161,Charles Khare,Data Scientist,MCA,7,"data analysis, machine learning, communication, numpy, sql"
1162,Tanvi Chandran,AI Engineer,M.Tech,0,"aws, python"
1163,Fariq Saha,AI Engineer,MCA,0,"aws, git, machine learning, c++, power bi"
1164,Aarnav Nayak,Data Scientist,B.Sc,8,"communication, machine learning, sql"
1165,Bina Nayak,AI Engineer,MCA,2,"aws, react, numpy, python, pandas"
1166,Veer Tailor,Data Scientist,B.Tech,4,"django, react, data analysis"
1167,Anvi Mannan,Web Developer,MCA,7,"power bi, excel, css"
1168,Qabil Ranganathan,Data Scientist,MCA,9,"communication, python, git, pandas"
1169,Janaki Bail,Data Analyst,B.Tech,2,"aws, tableau, sql, react"
1170,Meera Dube,Software Engineer,MCA,7,"aws, java, communication, c++, pandas"
1171,Dominic Sandal,Data Scientist,M.Tech,8,"python, linux, power bi, pandas"
1172,Rayaan Balan,Data Analyst,M.Tech,0,"react, excel, pandas, data analysis"
1173,Balendra Handa,Data Analyst,B.Tech,8,"aws, sql"
1174,Unni Gupta,AI Engineer,B.Sc,2,"aws, tableau, react, c++, excel, python"
1175,Abhiram Sharma,Software Engineer,MCA,1,"c++, react, java"
1176,Girindra Aggarwal,Software Engineer,M.Tech,4,"aws, c++"
1177,Qadim Goyal,Web Developer,MCA,1,"git, django, javascript, excel"
1178,Shivani Vora,Web Developer,B.Tech,5,"javascript, tableau"
1179,Yasti Mody,AI Engineer,B.Tech,2,"aws, machine learning, react, pandas"
1180,Zayan Krishnan,Software Engineer,B.Tech,6,"linux, java, react, communication, numpy"
1181,Ojas Bava,Data Scientist,M.Tech,10,"python, machine learning, linux"
1182,Rachit Krishnan,AI Engineer,B.Tech,4,"aws, c++, python"
1183,Ati Jain,AI Engineer,MCA,3,"aws, python, react"
1184,Arunima Bhavsar,System Administrator,MCA,2,"linux, pandas"
1185,Nisha Palla,System Administrator,M.Tech,5,"python, power bi"
1186,Eesha Parsa,Web Developer,B.Sc,7,"aws, html"
1187,Mugdha Trivedi,AI Engineer,M.Tech,1,"aws, c++, linux"
1188,Krish Devan,AI Engineer,B.Tech,6,"c++, pandas"
1189,Gaurang Singhal,Data Scientist,B.Tech,5,"python, numpy"
1190,Harita Chaudry,Data Analyst,M.Tech,5,"python, excel, sql, tableau"
1191,Urmi Khanna,Web Developer,MCA,2,"html, numpy, excel, css"
1192,Diya Sandhu,System Administrator,M.Tech,10,"aws, linux, react"
1193,Januja Issac,AI Engineer,MCA,5,"python, machine learning, excel"
1194,Jason Sengupta,Data Analyst,M.Tech,2,"aws, python, linux"
1195,Anjali Pathak,Data Analyst,MCA,8,"communication, linux, git, excel"
1196,Faras Magar,Data Analyst,B.Sc,8,"aws, python, numpy"
1197,Manya Butala,Data Analyst,B.Tech,5,"numpy, git, sql, pandas"
1198,Jonathan Wadhwa,AI Engineer,B.Tech,7,"linux, machine learning, pandas"
1199,Pranit Kalla,Web Developer,B.Sc,7,"html, django, pandas, css"
1200,Nimrat Karan,Data Analyst,M.Tech,1,"linux, django, excel, pandas"
1201,Zaid Sarkar,Software Engineer,MCA,3,"c++, linux, numpy"
1202,Qarin Ratta,Web Developer,MCA,1,"pandas, css"
1203,Urvi Pall,Data Analyst,MCA,5,"power bi, excel"
1204,Bahadurjit Bhargava,Software Engineer,M.Tech,8,"aws, communication, git"
1205,Jalsa Chandra,AI Engineer,B.Sc,8,"aws, python, machine learning, power bi"
1206,Victor Prashad,Web Developer,MCA,3,"excel, css"
1207,Geetika Batta,Data Analyst,MCA,4,"python, django, excel, data analysis"
1208,Lavanya Sastry,Software Engineer,B.Sc,3,"aws, communication, linux"
1209,Ira Korpal,Data Scientist,MCA,6,"linux, machine learning, excel, data analysis"
1210,Sarthak Pall,Data Analyst,M.Tech,9,"tableau, data analysis, communication, excel, python, sql"
1211,Ladli Rao,Data Scientist,M.Tech,9,"linux, data analysis, machine learning, numpy, sql"
1212,Nitesh Mistry,Software Engineer,B.Sc,0,"linux, git, tableau, java"
1213,Indali Bhandari,Data Analyst,M.Tech,1,"python, tableau, sql, data analysis"
1214,Pratyush Deo,System Administrator,M.Tech,3,"linux, python, numpy"
1215,Warinder Kothari,Web Developer,B.Sc,3,"react, numpy, excel, css, javascript"
1216,Ayushman Bakshi,Data Scientist,M.Tech,6,"python, machine learning, linux, numpy"
1217,Nimrat Jain,System Administrator,M.Tech,3,"communication, python, linux, power bi"
1218,Imaran Bava,Web Developer,B.Tech,10,"tableau, react, css"
1219,Elijah Dara,System Administrator,M.Tech,7,"linux, python, git, power bi"
1220,Adya Bumb,Web Developer,B.Sc,8,"aws, javascript, css"
1221,Darsh Sangha,AI Engineer,B.Sc,3,"django, machine learning, excel"
1222,Kiaan Tella,Data Scientist,B.Tech,0,"excel, machine learning, react, sql"
1223,Nandini Kanda,AI Engineer,MCA,6,"aws, c++, tableau, react"
1224,Jagrati Nori,System Administrator,MCA,7,"aws, linux"
1225,Aachal Jha,Data Scientist,B.Tech,7,"communication, machine learning, sql, data analysis"
1226,Ikbal Yogi,Data Scientist,M.Tech,7,"aws, python, machine learning, pandas"
1227,Ishita Chhabra,Software Engineer,M.Tech,3,"linux, java, communication, c++, pandas"
1228,Amaira Rajan,Data Analyst,B.Tech,8,"python, excel, react, data analysis"
1229,Yasti Nanda,Data Analyst,B.Tech,9,"communication, aws, python, excel"
1230,Nicholas Rana,AI Engineer,M.Tech,8,"aws, linux, machine learning, c++, numpy, python"
1231,Yutika Panchal,Software Engineer,M.Tech,1,"c++, linux, tableau, pandas"
1232,Ayush Sur,Software Engineer,B.Tech,1,"aws, linux, c++, django, pandas"
1233,Faras Krishnamurthy,Software Engineer,MCA,0,"aws, c++, django, java"
1234,Nikita Sachdev,Data Analyst,B.Tech,10,"aws, numpy, react, data analysis"
1235,Kala Kapur,System Administrator,MCA,8,"aws, python, django, excel"
1236,Idika Dhaliwal,Data Analyst,MCA,1,"tableau, data analysis, numpy, pandas, sql"
1237,Pratyush Sarna,Web Developer,B.Tech,9,"communication, aws, javascript, excel"
1238,Hamsini Prabhu,System Administrator,M.Tech,4,"aws, numpy, tableau"
1239,Eesha Jaggi,Web Developer,B.Sc,1,"javascript, power bi"
1240,Jeet Sharma,AI Engineer,MCA,8,"python, machine learning, linux, pandas"
1241,Nathan Bhalla,Web Developer,B.Tech,8,"aws, html, excel, css, pandas"
1242,Jackson Chaudhry,Software Engineer,M.Tech,0,"aws, linux, communication, c++, excel, power bi"
1243,Ekansh Acharya,System Administrator,M.Tech,4,"aws, tableau"
1244,Leela Dyal,AI Engineer,M.Tech,1,"c++, numpy, machine learning, react"
1245,Shivansh Hari,Software Engineer,B.Tech,4,"aws, c++, java"
1246,Manbir Bakshi,System Administrator,B.Tech,3,"python, react"
1247,Bachittar Nagy,Data Analyst,B.Sc,2,"django, sql"
1248,Eiravati Dara,Data Scientist,M.Tech,8,"excel, sql"
1249,Meera Naidu,Data Scientist,MCA,2,"aws, linux, machine learning, python, sql"
1250,Agastya Bhardwaj,Web Developer,B.Sc,6,"html, numpy, excel, pandas"
1251,Mahika Mammen,Web Developer,B.Sc,6,"html, pandas, css"
1252,Gayathri Thaker,Software Engineer,M.Tech,5,"excel, react, java"
1253,Rushil Mann,Data Scientist,B.Sc,2,"communication, python, excel, data analysis"
1254,Finn Tata,System Administrator,MCA,7,"aws, linux, power bi, pandas"
1255,Madhav Garde,Software Engineer,MCA,8,"aws, c++, numpy"
1256,Vedant Mohanty,AI Engineer,M.Tech,2,"aws, machine learning"
1257,Chatura Kohli,System Administrator,MCA,3,"linux, react"
1258,Aadi Nagy,Data Analyst,M.Tech,3,"communication, python, django, linux"
1259,Luke Venkatesh,Web Developer,MCA,2,"communication, html, git"
1260,Nakul Narula,Data Analyst,B.Tech,1,"linux, data analysis, django, excel, sql"
1261,Aarnav Sampath,Web Developer,M.Tech,5,"linux, html, power bi, css, pandas"
1262,Anvi Ramesh,AI Engineer,M.Tech,3,"communication, python"
1263,Caleb Apte,System Administrator,B.Sc,1,"aws, linux, excel"
1264,Ubika Divan,System Administrator,B.Tech,2,"aws, linux, power bi, pandas"
1265,Keya Ghosh,Web Developer,B.Sc,2,"aws, html, css"
1266,Leela Sundaram,Data Scientist,B.Tech,3,"aws, python, sql"
1267,Isaac Savant,System Administrator,B.Tech,8,"linux, git, pandas, numpy"
1268,Zehaan Balasubramanian,Data Analyst,B.Tech,9,"aws, excel, sql"
1269,Aishani Dar,Web Developer,B.Tech,6,"git, html, javascript"
1270,Xiti Nayar,Web Developer,B.Sc,8,"html, linux"
1271,Panini Pingle,Software Engineer,M.Tech,10,"aws, java, pandas"
1272,Alka Balakrishnan,Software Engineer,B.Tech,3,"aws, tableau, java, c++, django, excel"
1273,Omaja Dani,AI Engineer,M.Tech,2,"git, react, c++, django, python"
1274,Neelima Dar,Software Engineer,M.Tech,3,"c++, linux, django, excel"
1275,Daniel Kala,Software Engineer,B.Sc,2,"aws, linux, git, excel, pandas"
1276,Warhi Ravel,Web Developer,M.Tech,4,"javascript, excel"
1277,Gaurika Deep,Software Engineer,M.Tech,7,"aws, excel, java, tableau"
1278,Darika Kapadia,Software Engineer,MCA,7,"aws, c++, linux, pandas"
1279,Xiti Dube,AI Engineer,MCA,8,"aws, machine learning, communication, c++, python"
1280,Falan Shah,Data Analyst,B.Sc,9,"data analysis, numpy, power bi, pandas, sql"
1281,Orinder Chana,Web Developer,B.Tech,1,"javascript, react"
1282,Hitesh Mani,Software Engineer,B.Tech,2,"c++, django, java"
1283,Madhav Prabhu,Software Engineer,B.Sc,7,"aws, numpy, power bi"
1284,Eesha Mahajan,Data Analyst,B.Tech,9,"numpy, git, data analysis"
1285,David Roy,Web Developer,MCA,2,"pandas, css"
1286,Isaiah Johal,Data Scientist,B.Tech,8,"python, machine learning, tableau, sql"
1287,Manbir Chada,Data Scientist,B.Tech,9,"django, aws, machine learning, power bi"
1288,Gagan Shah,System Administrator,B.Sc,3,"aws, linux, tableau"
1289,Upma Ghosh,System Administrator,M.Tech,5,"django, python, linux, numpy"
1290,Aashi Gupta,Web Developer,B.Tech,0,"html, power bi, react, tableau"
1291,Veer Hayer,Data Analyst,B.Tech,8,"python, excel, data analysis, tableau"
1292,Radhika Thaman,Data Analyst,B.Tech,8,"aws, react, sql, data analysis"
1293,Jagrati Keer,System Administrator,B.Tech,3,"aws, python, git"
1294,Girindra Luthra,Data Scientist,B.Sc,2,"excel, sql, data analysis, tableau"
1295,Madhavi Madan,System Administrator,B.Sc,4,"aws, python, react"
1296,Balveer Kari,Software Engineer,B.Tech,4,"aws, c++, git, tableau"
1297,Oliver Majumdar,Web Developer,B.Sc,3,"linux, javascript, tableau, react"
1298,Charita Korpal,System Administrator,M.Tech,7,"python, linux, react, numpy"
1299,Tarak Sur,Software Engineer,B.Tech,3,"aws, c++, tableau, java"
1300,Ekbal Atwal,Data Scientist,B.Tech,8,"machine learning, pandas"
1301,Ayaan Srivastava,Web Developer,M.Tech,8,"html, django, react, css"
1302,Idika Sachdeva,System Administrator,B.Sc,0,"aws, linux"
1303,Frado Bhatti,Data Scientist,MCA,10,"python, git, power bi"
1304,Raksha Sanghvi,Data Analyst,MCA,7,"pandas, python, sql, data analysis"
1305,Pooja Hayre,Data Scientist,M.Tech,3,"aws, tableau, machine learning, django, python"
1306,Gaurika Sastry,System Administrator,M.Tech,9,"aws, communication, linux, react"
1307,Lopa Dass,AI Engineer,MCA,7,"c++, power bi, tableau"
1308,Zarna Menon,Web Developer,MCA,8,"aws, tableau, git, css, javascript"
1309,Vyanjana Mukhopadhyay,AI Engineer,B.Sc,7,"aws, communication, python, linux"
1310,Aradhana Wali,Web Developer,MCA,4,"html, numpy, javascript"
1311,Ekta Chakraborty,System Administrator,MCA,9,"aws, python, power bi, numpy"
1312,Raksha Rau,Web Developer,B.Tech,8,"react, numpy, power bi, css, javascript"
1313,Ucchal Sampath,Data Analyst,MCA,7,"numpy, excel, data analysis"
1314,Arya Shanker,Software Engineer,B.Sc,0,"c++, linux, django, java"
1315,Yachana Tank,AI Engineer,B.Tech,6,"django, c++, machine learning"
1316,Vyanjana Andra,Data Scientist,M.Tech,0,"aws, data analysis"
1317,Nathaniel Bumb,AI Engineer,B.Tech,2,"aws, git, power bi"
1318,Imaran Shankar,Data Scientist,MCA,10,"machine learning, sql, pandas"
1319,Leela Kaur,Data Scientist,B.Tech,8,"power bi, sql"
1320,Triveni Devan,AI Engineer,B.Tech,0,"aws, python, react"
1321,Isaiah Biswas,System Administrator,MCA,10,"communication, python, django, react"
1322,Sachi Sarin,AI Engineer,B.Tech,2,"communication, c++, linux, git"
1323,Arunima Iyer,AI Engineer,M.Tech,8,"aws, python, pandas"
1324,Bishakha Bala,Web Developer,MCA,4,"git, javascript, pandas"
1325,Vincent Pai,Data Scientist,M.Tech,10,"communication, aws, react, sql"
1326,Nihal Sen,System Administrator,MCA,4,"aws, communication, python"
1327,Girik Chowdhury,AI Engineer,B.Tech,0,"aws, c++, machine learning, django"
1328,Chandran Mani,Web Developer,MCA,10,"aws, javascript, pandas"
1329,Shivansh Srinivas,Data Analyst,MCA,7,"excel, sql, data analysis"
1330,Chatura Ahluwalia,System Administrator,B.Tech,4,"aws, linux, git, python, pandas"
1331,Sachi Chakraborty,Software Engineer,B.Tech,4,"linux, power bi"
1332,Ojasvi Som,System Administrator,B.Sc,4,"aws, git"
1333,Advika Mitra,Data Scientist,B.Tech,2,"linux, django, sql"
1334,Vaishnavi Chhabra,Web Developer,M.Tech,2,"numpy, django, css"
1335,Wahab Murthy,System Administrator,MCA,8,"aws, power bi"
1336,Harita Chakrabarti,System Administrator,B.Sc,10,"aws, excel, react"
1337,Samar Sarma,Software Engineer,M.Tech,10,"c++, linux, tableau"
1338,Daksh Dutta,System Administrator,MCA,2,"linux, git"
1339,Matthew Dhillon,Data Analyst,M.Tech,2,"python, data analysis, numpy"
1340,Vivaan Venkataraman,Software Engineer,B.Sc,6,"aws, linux, django"
1341,Ekaraj Venkataraman,Web Developer,MCA,8,"aws, html, numpy, excel, javascript"
1342,Sanaya Batta,AI Engineer,B.Sc,10,"aws, c++, git"
1343,Anusha Roy,Web Developer,MCA,7,"aws, html"
1344,Vamakshi Virk,Web Developer,B.Tech,8,"aws, html, linux, pandas"
1345,Azaan Saini,Data Analyst,B.Sc,0,"aws, numpy, excel, tableau"
1346,Veer Bora,System Administrator,B.Tech,9,"linux, tableau"
1347,Tripti Pandey,Software Engineer,B.Tech,2,"aws, react, pandas"
1348,Frado Pathak,Data Analyst,M.Tech,3,"tableau, data analysis, communication, numpy, excel, sql"
1349,Mekhala Modi,AI Engineer,B.Tech,7,"aws, tableau, machine learning, react, c++"
1350,Yashasvi Shroff,AI Engineer,MCA,10,"aws, c++, machine learning, django"
1351,Zayan Bora,Web Developer,M.Tech,0,"excel, linux, power bi, css"
1352,Hamsini Gour,AI Engineer,B.Tech,4,"c++, linux, machine learning"
1353,Madhav Kulkarni,Web Developer,M.Tech,6,"react, css"
